com_name,com_addr,com_area,com_class,com_trade,com_size,job_name,job_exp,job_edu,job_class,job_keyword,job_pay,job_info,postdate
上海纵立软件技术有限公司,新希望国际,成都-高新区,民营公司,"计算机软件,电子技术/半导体/集成电路",少于50人,图像识别算法工程师,3-4年经验,本科,高级软件工程师,图像识别|AI,0.7-1.4万/月,1. 数学、通信、计算机专业本科及以上学历；|2. 熟悉图像识别模型及算法；|3. 精通C/C++，Python或java语言，有实际的开发经验；|4. 熟悉openCV或halcon等业界产品；|5. 热爱技术，开拓进取，吃苦耐劳；|6. 具备良好的团队合作精神。,04-10发布
上海金卓网络科技有限公司,武侯大道顺江段77号汇点广场2座704,成都-武侯区,民营公司,"互联网/电子商务,电子技术/半导体/集成电路",50-150人,算法工程师,3-4年经验,硕士,其他,,1-2万/月,1.负责通信系统基带算法的设计和仿真工作；|2.参与产品测试与性能调试；|任职要求：|1.3年以上相关工作经验；|2.熟悉无线通信基本算法，如编译码、信道估计、检测等；|3.熟悉常用编程语言，比如Matlab、C、C++、Verilog HDL等；|4.有实际基带算法设计经验。,04-10发布
成都点阵科技有限公司,成都市武侯区武青南路40号E座10-12楼,成都,民营公司,"电子技术/半导体/集成电路,计算机软件",50-150人,算法工程师,2年经验,硕士,算法工程师,算法,1-2万/月,负责软件无线电开源代码如信号识别、信号的调制与解调、数字信号的编解码方面的研究。|1．熟练使用MATLAB、PYTHON、熟悉C/C++语言等编程语言进行算法设计、优化和仿真；|2．有一定的高等数学功底，熟悉无线电信号与系统分析，了解信号滤波，了解模拟和数字信号调制方式等等；|3．理论功底扎实，有独立分析、推导能力；|4．从事过无线电、通讯、电子工程、计算机软件等相关行业经验者优先；|                            |5．工作认真、细致，有上进心。,04-10发布
成都掌中全景信息技术有限公司,天府软件园D区D6-1004B,成都,民营公司,"计算机软件,互联网/电子商务",少于50人,初级算法工程师（收实习生）,无工作经验,本科,算法工程师,,3-6千/月,岗位要求：|1，计算机专业毕业；|2，有C或C++或python编程基础；|3，熟悉数据结构与算法；|4，有视频、图像方面的算法工作经验优先；,04-10发布
成都数字天空科技有限公司,成都市高新区天府软件园C区,成都,民营公司,"网络游戏,互联网/电子商务",500-1000人,高级算法工程师-成都-00299,5-7年经验,本科,算法工程师,算法|深度识别|动作捕捉|图形图像处理,1.5-2.5万/月,职位概述|岗位职责,04-10发布
北京世纪德辰通信技术有限公司,成都市高新区吉泰路88号香年广场3号楼,成都-高新区,民营公司,"电子技术/半导体/集成电路,通信/电信/网络设备",150-500人,算法工程师,无工作经验,硕士,无线通信工程师,算法工程师|算法|通信|无线电|matlab|fpga|可年后入职,0.8-1.5万/月,岗位职责：|1、参与信号分析系统设计工作；|2、负责信号分析系统算法开发及仿真工作；|3、分析并解决案发过程中的技术问题；|4、配合实验工作，分析验证实验数据；|5、完成领导安排其他工作。|任职要求：|1、通信、电子、无线电及相关专业方向，硕士研究生及以上学历;|2、熟悉仿真工具和具备一定的编程能力；|3、具备信号处理理论基础，熟悉信号处理基本流程；|4、有较好的数字信号处理基础，熟悉FFT、数字滤波等相关原理；|5、具备良好的英语阅读能力。|我们是一家以无线电信号测试/监测技术应用开发为主营方向，集科研、生产、系统集成、销售及技术服务于一体的行业高科技产业实体。员工人数超200，年产值超5个亿，行业排名前三甲。我们是一支年轻、专业、有活力的团队，我们期待您的加入！| |1、能力有多高，舞台就有多大，在这里，您从不缺机会；|2、全方位的培训方案和完善的评级机制让您的职业晋升不再是难题；|3、入职即买五险一金，甩掉房贷压力，生活更加轻松；|4、餐补、交补、话补，全方位照顾您的生活，让您后顾无忧；|5、法律规定的我们一样不缺，法律没规定的我们样样齐全：7.5小时工作制、奖励性带薪休假、年底双薪、国内外旅游、节日礼金、健身俱乐部等等…| |1、请在线投递简历，切勿重复投递；|2、请根据职位说明匹配自身意愿及胜任条件，慎重投递；|3、我们将在一周内处理您的简历，合适者将会以电话方式通知面试。,04-10发布
成都融智汽车服务有限公司,成都市武侯区高朋大道11号 高新科技工业园F座5楼,成都-武侯区,民营公司,"互联网/电子商务,汽车及零配件",50-150人,语音信号处理算法工程师,3-4年经验,本科,语音/视频/图形开发工程师,算法工程师|算法|语音|研发|matlab,1-1.5万/月,岗位职责：|    1、负责音频系统前端信号处理的算法的设计和实现|岗位要求：|　　1、大学本科及以上学历，通信及信号处理相关专业毕业，1年以上工作经验；|  　2、精通C/C++、matlab语言，熟练使用VisualStudio、matlab开发环境；    |　　3、熟悉自适应滤波及相关语音信号谱分析技术，掌握Echo Cancellation，Noise  Suppression、语音增强、阵列信号处理、声源分离等，有抗混响、Beamforming、语音增强算法的实际经验，能够根据实际产品需求评估并调整算法实现或者参数等； |      4、了解采用深度学习进行语音信号处理的方法；|      5、具备扎实的数学基础，数学推导能力，数字信号处理理论和实际经验；|　　6、有较强的分析问题和独立解决问题的能力；|　　7、有语音识别和阵列信号处理实际项目经验者优先 .,04-10发布
瀚思安信（北京）软件技术有限公司,成都市高新区天晖路360号晶科一号801室,成都-高新区,民营公司,计算机软件,50-150人,机器学习算法研究员,5-7年经验,硕士,算法工程师,,1.5-3万/月,,04-10发布
深圳市中钞信达金融科技有限公司,泰然环球时代中心1号楼,成都-高新区,国企,"计算机软件,计算机服务(系统、数据服务、维修)",500-1000人,视觉算法工程师,1年经验,本科,算法工程师,,0.8-1.5万/月,1、 参与公司关于计算机视觉方面的项目；|2、 通过研读相关领域文献寻找解决项目所需要的问题的最优算法；|3、 通过Matlab/OpenCV等对算法进行功能、性能仿真和验证；|4、 利用C/C++在目标平台上实现算法。|任职要求|1、 在机器视觉领域有过实际算法开发经验；|2、 扎实的计算机视觉、图像处理相关的数学基础及在视觉领域中的应用；|3、 具备良好的编程基础，熟悉一种常用编程语言；|4、 具备创新精神，致力于创造解决实际问题的视觉感知技术领域；|5、 了解深度学习，有一定项目实践者优先；|6、 具备视觉算法高性能优化及移动平台（嵌入式视觉系统、智能手机）视觉系统开发经验者优先。,04-10发布
四川君诚互动科技有限公司,高新区天府四街,成都,民营公司,"计算机软件,通信/电信/网络设备",50-150人,图像处理（识别）算法工程师,,,软件工程师,,0.8-1.2万/月,,
